Date,Halifax_HPI
Nov 24,298083
Oct 24,293999
Sep 24,293399
Aug 24,292505
Jul 24,291268
Jun 24,288455
May 24,288688
Apr 24,288949
Mar 24,288430
Feb 24,291699
Jan 24,291029
Dec 23,287105
Nov 23,283615
Oct 23,281974
Sep 23,278601
Aug 23,279569
Jul 23,285044
Jun 23,286532
May 23,286532
Apr 23,286896
Mar 23,287880
Feb 23,285476
Jan 23,281684
Dec 22,281272
Nov 22,285579
Oct 22,292598
Sep 22,293835
Aug 22,294260
Jul 22,293221
Jun 22,294845
May 22,289099
Apr 22,286079
Mar 22,282753
Feb 22,278123
Jan 22,276759
Dec 21,276091
Nov 21,272992
Oct 21,270027
Sep 21,267587
Aug 21,262954
Jul 21,261221
Jun 21,260358
May 21,261743
Apr 21,258204
Mar 21,254606
Feb 21,251697
Jan 21,251968
Dec 20,253374
Nov 20,253243
Oct 20,250457
Sep 20,249870
Aug 20,245747
Jul 20,241604
May 20,237808
Apr 20,238511
Mar 20,240384
Feb 20,240677
Jan 20,240054
Dec 19,238963
Nov 19,234625
Oct 18,232249
Sep 19,232574
Aug 19,233541
Jul 19,236120
May 19,237837
Apr 19,236619
Mar 19,233181
Feb 19,236800
Jan 19,223691
Dec 18,229729
Nov 18,224778
Oct 18,227869
Sep 18,225995
Aug 18,229958
Jul 18,230280
May 18,224439
Apr 18,220962
Mar 18,227871
Feb 18,224353
Jan 18,223285
Dec 17,225021
Nov 17,226821
Oct 17,225826
Sep 17,225109
Aug 17,222293
Jul 17,219266
Jun 17,218390
May 17,220706
Apr 17,219649
Mar 17,219755
Feb 17,219949
Jan 17,220260
Nov 16,218022
Oct 16,217411
Sep 16,214024
Aug 16,213930
Jul 16,214678
Jun 16,216823
May 16,213472
Apr 16,212321
Mar 15,192970
Feb 15,192372
Jan 15,193130
Dec 14,188858
Nov 14,186941
Oct 14,186135
Sep 14,187188
Aug 14,186270
Jul 14,186322
Jun 14,183462
May 14,184464
Apr 14,177648
Mar 14,178249
Feb 14,179872
Jan 14,175546
Dec 13,173467
Nov 13,174910
Oct 13,171991
Aug 13,170231
Jul 13,169624
Jun 13,167984
May 13,166898
Apr 13,166094
Mar 13,163943
Feb 13,163600
Jan 13,162932
Dec 12,163845
Nov 12,160879
Oct 12,158426
Sep 12,159486
Aug 12,160256
Jul 12,161094
Jun 12,162417
May 12,160941
Apr 12,159883
Mar 12,163803
Feb 12,160118
Jan 12,160907
Dec 11,160063
Nov 11,161731
Oct 11,163311
Sep 11,161132
Aug 11,161743
Jul 11,163981
Jun 11,163049
May 11,160519
Apr 11,160395
Mar 11,162912
Feb 11,162657
Jan 11,164173
Dec 10,162435
Nov 10,164708
Oct 10,164919
Sep 10,162096
Aug 10,167953
Jul 10,167425
Jun 10,166203
May 10,167570
Apr 10,168202
Mar 10,168521
Feb 10,166857
Jan 10,169777
Dec 09,169042
Nov 09,167664
Oct 09,165528
Sep 09,163533
Aug 09,160973
Jul 09,159623
Jun 09,157713
May 09,158565
Apr 09,154716
Mar 09,157226
Feb 09,160327
Jan 09,163966
Dec 08,159896
Nov 08,163605
Oct 08,168176
Sep 08,172108
Aug 08,174178
Jul 08,177351
Jun 08,180344
May 08,184111
Apr 08,189027
Mar 08,191556
Feb 08,196649
Jan 08,197244
Dec 07,197039
Nov 07,194895
Oct 07,197248
Sep 07,198500
Aug 07,199770
Jul 07,198915
Jun 07,197461
May 07,196893
Apr 07,196745
Mar 07,194362
Feb 07,192233
Jan 07,188623
Dec 06,186035
Nov 06,187995
Oct 06,184593
Sep 06,181186
Aug 06,179043
Jul 06,177020
Jun 06,176509
May 06,178997
Apr 06,178992
Mar 06,175215
Feb 06,173498
Jan 06,170833
Dec 05,171632
Nov 05,170086
Oct 05,168210
Sep 05,168299
Aug 05,165967
Jul 05,162994
Jun 05,162605
May 05,162411
Apr 05,163615
Mar 05,163714
Feb 05,162816
Jan 05,163748
Dec 04,162493
Nov 04,160259
Oct 04,160639
Sep 04,162669
Aug 04,160584
Jul 04,161466
Jun 04,159685
May 04,157785
Apr 04,154449
Mar 04,151509
Feb 04,148183
Jan 04,145430
Dec 03,143009
Nov 03,139845
Oct 03,138208
Sep 03,135882
Aug 03,134559
Jul 03,132371
Jun 03,130566
May 03,129586
Apr 03,128016
Mar 03,127186
Feb 03,125571
Jan 03,123026
Dec 02,121134
Nov 02,123916
Oct 02,121618
Sep 02,116663
Aug 02,111283
Jul 02,111731
Jun 02,109725
May 02,107247
Apr 02,103192
Mar 02,102468
Feb 02,101708
Jan 02,100684
Dec 01,98856
Nov 01,96132
Oct 01,93609
Sep 01,94011
Aug 01,94195
Jul 01,92514
Jun 01,91884
May 01,90382
Apr 01,89354
Mar 01,88001
Feb 01,87212
Jan 01,85879
