Date,New,Orig
Jan 2011,-0.1,
Feb 2011,-0.9,
Mar 2011,-1.3,
Apr 2011,-1.1,
May 2011,-2.0,
Jun 2011,-2.3,
Jul 2011,-2.1,
Aug 2011,-2.0,
Sep 2011,-2.0,
Oct 2011,-2.0,
Nov 2011,-0.7,
Dec 2011,-1.0,
Jan 2012,-0.8,
Feb 2012,-0.6,
Mar 2012,0.2,
Apr 2012,-0.2,
May 2012,0.6,
Jun 2012,1.4,
Jul 2012,0.5,
Aug 2012,0.5,
Sep 2012,0.4,
Oct 2012,0.8,
Nov 2012,0.9,
Dec 2012,1.1,
Jan 2013,1.1,
Feb 2013,1.3,
Mar 2013,1.6,
Apr 2013,1.5,
May 2013,1.7,
Jun 2013,1.5,
Jul 2013,2.3,
Aug 2013,3.0,
Sep 2013,3.4,
Oct 2013,3.7,
Nov 2013,4.2,
Dec 2013,5.4,
Jan 2014,6.2,
Feb 2014,6.7,
Mar 2014,6.4,
Apr 2014,7.7,
May 2014,8.3,
Jun 2014,8.4,
Jul 2014,8.7,
Aug 2014,9.1,
Sep 2014,9.1,
Oct 2014,9.4,
Nov 2014,8.4,
Dec 2014,7.7,
Jan 2015,7.0,
Feb 2015,6.7,
Mar 2015,6.7,
Apr 2015,5.3,
May 2015,5.3,
Jun 2015,5.2,
Jul 2015,5.5,
Aug 2015,5.2,
Sep 2015,5.3,
Oct 2015,5.6,
Nov 2015,6.8,
Dec 2015,6.9,
Jan 2016,7.8,
Feb 2016,7.7,
Mar 2016,8.4,
Apr 2016,7.9,
May 2016,8.0,
Jun 2016,8.2,
Jul 2016,7.5,
Aug 2016,6.5,
Sep 2016,6.1,
Oct 2016,5.6,
Nov 2016,5.3,
Dec 2016,5.2,
Jan 2017,4.8,
Feb 2017,4.9,
Mar 2017,3.6,
Apr 2017,4.9,
May 2017,4.3,
Jun 2017,4.2,
Jul 2017,4.5,
Aug 2017,4.9,
Sep 2017,4.7,
Oct 2017,5.1,
Nov 2017,4.3,
Dec 2017,4.6,
Jan 2018,4.3,
Feb 2018,4.4,
Mar 2018,4.0,
Apr 2018,3.3,
May 2018,3.1,
Jun 2018,2.9,
Jul 2018,2.9,
Aug 2018,2.7,
Sep 2018,2.9,
Oct 2018,2.7,
Nov 2018,2.6,
Dec 2018,2.0,
Jan 2019,1.7,
Feb 2019,1.2,
Mar 2019,1.5,
Apr 2019,1.3,
May 2019,1.0,
Jun 2019,0.7,
Jul 2019,0.6,
Aug 2019,0.6,
Sep 2019,0.9,
Oct 2019,0.7,
Nov 2019,0.8,
Dec 2019,0.9,
Jan 2020,1.6,
Feb 2020,1.3,
Mar 2020,2.5,
Apr 2020,0.7,
May 2020,1.1,
Jun 2020,2.0,
Jul 2020,1.7,
Aug 2020,2.4,
Sep 2020,3.4,
Oct 2020,4.6,
Nov 2020,6.0,
Dec 2020,7.0,
Jan 2021,6.9,
Feb 2021,7.8,
Mar 2021,8.5,
Apr 2021,7.9,
May 2021,8.1,
Jun 2021,12.3,
Jul 2021,6.1,
Aug 2021,8.3,
Sep 2021,10.3,
Oct 2021,6.6,
Nov 2021,7.6,
Dec 2021,7.3,
Jan 2022,8.6,9.6
Feb 2022,8.4,10.9
Mar 2022,7.2,9.8
Apr 2022,10.1,12.4
May 2022,10.6,12.8
Jun 2022,6.3,7.8
Jul 2022,13.6,15.5
Aug 2022,11.2,13.6
Sep 2022,8.3,9.5
Oct 2022,11.1,12.6
Nov 2022,8.8,10.3
Dec 2022,7.3,9.8
Jan 2023,5.2,6.3
Feb 2023,4.2,5.5
Mar 2023,2.7,4.1
Apr 2023,1.7,3.5
May 2023,0.9,1.9
Jun 2023,0.1,1.7
Jul 2023,-0.7,0.6
Aug 2023,-1.0,0.2
Sep 2023,-1.7,-0.1
Oct 2023,-2.1,-1.2
Nov 2023,-2.6,-2.1
Dec 2023,-2.7,-1.4
Jan 2024,-1.9,-0.6
Feb 2024,-1.3,-0.2
Mar 2024,-0.1,1.8
Apr 2024,0.3,1.1
May 2024,1.2,2.2
Jun 2024,1.9,2.7
Jul 2024,2.2,2.2
Aug 2024,2.8,2.8
Sep 2024,2.8,2.9
Oct 2024,3.4,3.4
